node_id,title,old_path,new_path
0,Quota policy,api-services/content/rate-limit-api-traffic-using-quota.html,api-platform/reference/policies/quota-policy.html
9,Create API products,developer-services/content/create-api-products.html,api-platform/publish/create-api-products.html
17,Analytics dashboards,analytics-services/content/analytics-dashboards.html,api-platform/analytics/analytics-dashboards.html
18,Message Logging policy,api-services/reference/message-logging-policy.html,api-platform/reference/policies/message-logging-policy.html
22,XSL Transform policy,api-services/reference/xsl-transform-policy.html,api-platform/reference/policies/xsl-transform-policy.html
26,Response Cache policy,api-services/reference/response-cache-policy.html,api-platform/reference/policies/response-cache-policy.html
29,Access Control policy,api-services/reference/access-control-policy.html,api-platform/reference/policies/access-control-policy.html
30,XML Threat Protection policy,api-services/reference/xml-threat-protection-policy.html,api-platform/reference/policies/xml-threat-protection-policy.html
31,XML to JSON policy,api-services/reference/xml-json-policy.html,api-platform/reference/policies/xml-json-policy.html
33,OAuth home,api-services/reference/authorize-requests-using-oauth-20.html,api-platform/security/oauth/oauth-home.html
53,Spike Arrest policy,api-services/reference/spike-arrest-policy.html,api-platform/reference/policies/spike-arrest-policy.html
56,Quota policy,api-services/reference/quota-policy.html,api-platform/reference/policies/quota-policy.html
61,JSON to XML policy,api-services/reference/json-xml-policy.html,api-platform/reference/policies/json-xml-policy.html
82,Raise Fault policy,api-services/reference/raise-fault-policy.html,api-platform/reference/policies/raise-fault-policy.html
94,Analytics Services overview,analytics-services/content/analytics-services-overview.html,api-platform/analytics/analytics-services-overview.html
96,Managing app developers,developer-services/content/adding-developers-your-api-product.html,api-platform/publish/adding-developers-your-api-product.html
99,What is an API product?,api-platform/content/what-api-product.html,api-platform/publish/what-api-product.html
123,Flow variables and conditions,api-services/content/flow-variables-and-conditions.html,api-platform/fundamentals/flow-variables-and-conditions.html
124,Add blog and forum posts,developer-services/content/add-blog-and-forum-posts.html,api-platform/publish/drupal/add-blog-and-forum-posts.html
125,Message Validation policy,api-services/reference/message-validation-policy.html,api-platform/reference/policies/message-validation-policy.html
156,Service Callout policy,api-services/reference/service-callout-policy.html,api-platform/reference/policies/service-callout-policy.html
157,Using the Trace tool,api-services/content/using-trace-tool-0.html,api-platform/debug/using-trace-tool-0.html
158,Register apps and manage API keys,developer-services/content/creating-apps-surface-your-api.html,api-platform/publish/creating-apps-surface-your-api.html
159,Java Callout policy,api-services/reference/java-callout-policy.html,api-platform/reference/policies/java-callout-policy.html
192,Copyright,content/copyright.html,
212,OAuth v1.0a policy,api-services/reference/oauth-10-policy.html,api-platform/reference/policies/oauth-10-policy.html
222,Convert the response to uppercase with a Java callout,api-services/cookbook/use-java-customize-api.html,api-platform/samples/cookbook/use-java-customize-api.html
227,Extract Variables policy,api-services/reference/extract-variables-policy.html,api-platform/reference/policies/extract-variables-policy.html
